      year  reference       2030     GL2050     GH2050     WL2050     WH2050     GL2085     GH2085     WL2085     WH2085
      1981      115.8         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1982      201.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1983      206.2         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1984      117.1         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1985       62.6         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1986      184.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1987       61.2         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1988      138.4         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1989      237.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1990      198.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1991      146.5         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1992      160.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1993      116.9         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1994      160.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1995      197.6         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1996      188.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1997      103.1         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1998       67.4         NA         NA         NA         NA         NA         NA         NA         NA         NA
      1999      156.1         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2000       64.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2001        135         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2002       75.5         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2003      221.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2004      112.4         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2005       98.8         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2006      188.5         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2007      108.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2008      148.4         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2009      178.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      2010      196.2         NA         NA         NA         NA         NA         NA         NA         NA         NA
