    season variabeles  reference       2030     GL2050     GH2050     WL2050     WH2050     GL2085     GH2085     WL2085     WH2085
      year       mean      144.9         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year      stdev       51.4         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year     rank.1       61.2         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year     rank.2       62.6         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year     rank.3       64.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year     rank.4       67.4         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year     rank.5       75.5         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year     rank.6       98.8         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year     rank.7      103.1         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year     rank.8      108.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year     rank.9      112.4         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.10      115.8         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.11      116.9         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.12      117.1         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.13        135         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.14      138.4         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.15      146.5         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.16      148.4         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.17      156.1         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.18      160.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.19      160.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.20      178.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.21      184.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.22      188.5         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.23      188.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.24      196.2         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.25      197.6         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.26      198.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.27      201.7         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.28      206.2         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.29      221.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
      year    rank.30      237.3         NA         NA         NA         NA         NA         NA         NA         NA         NA
